S.No,Question Name,Difficulty,LeetCode Link
55,Find Golden Hour Customers,Medium,https://leetcode.com/problems/find-golden-hour-customers/
56,Minimum String Length After Balanced Removals,Medium,https://leetcode.com/problems/minimum-string-length-after-balanced-removals/
57,Maximize Points After Choosing K Tasks,Medium,https://leetcode.com/problems/maximize-points-after-choosing-k-tasks/
58,Maximum Substrings With Distinct Start,Medium,https://leetcode.com/problems/maximum-substrings-with-distinct-start/
59,Largest Prime from Consecutive Prime Sum,Medium,https://leetcode.com/problems/largest-prime-from-consecutive-prime-sum/
60,Maximize Sum of Squares of Digits,Medium,https://leetcode.com/problems/maximize-sum-of-squares-of-digits/
61,Stable Subarrays With Equal Boundary and Interior Sum,Medium,https://leetcode.com/problems/stable-subarrays-with-equal-boundary-and-interior-sum/
62,Maximum Transactions Without Negative Balance,Medium,https://leetcode.com/problems/maximum-transactions-without-negative-balance/
63,Smallest Missing Multiple of K,Easy,https://leetcode.com/problems/smallest-missing-multiple-of-k/
64,Maximum Alternating Sum of Squares,Medium,https://leetcode.com/problems/maximum-alternating-sum-of-squares/
65,Lexicographically Smallest Negated Permutation that Sums to Target,Medium,https://leetcode.com/problems/lexicographically-smallest-negated-permutation-that-sums-to-target/
66,Count Subarrays With Majority Element II,Hard,https://leetcode.com/problems/count-subarrays-with-majority-element-ii/
67,Count Subarrays With Majority Element I,Medium,https://leetcode.com/problems/count-subarrays-with-majority-element-i/
68,Lexicographically Smallest String After Reverse,Medium,https://leetcode.com/problems/lexicographically-smallest-string-after-reverse/
69,Total Sum of Interaction Cost in Tree Groups,Hard,https://leetcode.com/problems/total-sum-of-interaction-cost-in-tree-groups/
70,Word Squares II,Medium,https://leetcode.com/problems/word-squares-ii/
71,Maximum Distance Between Unequal Words in Array II,Medium,https://leetcode.com/problems/maximum-distance-between-unequal-words-in-array-ii/
72,Count Ways to Choose Coprime Integers from Rows,Hard,https://leetcode.com/problems/count-ways-to-choose-coprime-integers-from-rows/
73,Sum of Elements With Frequency Divisible by K,Easy,https://leetcode.com/problems/sum-of-elements-with-frequency-divisible-by-k/
74,Maximum Distance Between Unequal Words in Array I,Easy,https://leetcode.com/problems/maximum-distance-between-unequal-words-in-array-i/
75,Minimum Deletions to Make Alternating Substring,Hard,https://leetcode.com/problems/minimum-deletions-to-make-alternating-substring/
76,Count Distinct Subarrays Divisible by K in Sorted Array,Hard,https://leetcode.com/problems/count-distinct-subarrays-divisible-by-k-in-sorted-array/
77,Minimum Swaps to Avoid Forbidden Values,Hard,https://leetcode.com/problems/minimum-swaps-to-avoid-forbidden-values/
78,Library Late Fee Calculator,Easy,https://leetcode.com/problems/library-late-fee-calculator/
79,Design Exam Scores Tracker,Medium,https://leetcode.com/problems/design-exam-scores-tracker/
80,Compute Alternating Sum,Easy,https://leetcode.com/problems/compute-alternating-sum/
81,Total Waviness of Numbers in Range I,Medium,https://leetcode.com/problems/total-waviness-of-numbers-in-range-i/
82,Longest Balanced Substring II,Medium,https://leetcode.com/problems/longest-balanced-substring-ii/
83,Longest Balanced Substring I,Medium,https://leetcode.com/problems/longest-balanced-substring-i/
84,Count Distinct Integers After Removing Zeros,Medium,https://leetcode.com/problems/count-distinct-integers-after-removing-zeros/
85,Majority Frequency Characters,Easy,https://leetcode.com/problems/majority-frequency-characters/
86,Equal Score Substrings,Easy,https://leetcode.com/problems/equal-score-substrings/
87,Remove Zeros in Decimal Representation,Easy,https://leetcode.com/problems/remove-zeros-in-decimal-representation/
88,Minimum Index Sum of Common Elements,Medium,https://leetcode.com/problems/minimum-index-sum-of-common-elements/
89,Count No-Zero Pairs That Sum to N,Hard,https://leetcode.com/problems/count-no-zero-pairs-that-sum-to-n/
90,Minimum Time to Complete All Deliveries,Medium,https://leetcode.com/problems/minimum-time-to-complete-all-deliveries/
91,Longest Balanced Subarray II,Hard,https://leetcode.com/problems/longest-balanced-subarray-ii/
92,Longest Balanced Subarray I,Medium,https://leetcode.com/problems/longest-balanced-subarray-i/
93,Find Zombie Sessions,Hard,https://leetcode.com/problems/find-zombie-sessions/
94,Minimum Operations to Transform Array,Medium,https://leetcode.com/problems/minimum-operations-to-transform-array/
95,Climbing Stairs II,Medium,https://leetcode.com/problems/climbing-stairs-ii/
96,Compute Decimal Representation,Easy,https://leetcode.com/problems/compute-decimal-representation/
97,Lexicographically Smallest Palindromic Permutation Greater Than Target,Hard,https://leetcode.com/problems/lexicographically-smallest-palindromic-permutation-greater-than-target/
98,Sum of Weighted Modes in Subarrays,Medium,https://leetcode.com/problems/sum-of-weighted-modes-in-subarrays/
99,Maximum Partition Factor,Hard,https://leetcode.com/problems/maximum-partition-factor/
100,Longest Subsequence With Non-Zero Bitwise XOR,Medium,https://leetcode.com/problems/longest-subsequence-with-non-zero-bitwise-xor/
101,Maximize Cyclic Partition Score,Hard,https://leetcode.com/problems/maximize-cyclic-partition-score/
102,Sort Array By Absolute Value,Easy,https://leetcode.com/problems/sort-array-by-absolute-value/
103,Number of Stable Subsequences,Hard,https://leetcode.com/problems/number-of-stable-subsequences/
104,Find Loyal Customers,Medium,https://leetcode.com/problems/find-loyal-customers/
105,Count Binary Palindromic Numbers,Hard,https://leetcode.com/problems/count-binary-palindromic-numbers/
106,Minimum Operations to Equalize Subarrays,Hard,https://leetcode.com/problems/minimum-operations-to-equalize-subarrays/
107,Distinct Points Reachable After Substring Removal,Medium,https://leetcode.com/problems/distinct-points-reachable-after-substring-removal/
108,Lexicographically Smallest Permutation Greater Than Target,Medium,https://leetcode.com/problems/lexicographically-smallest-permutation-greater-than-target/
109,Remove K-Balanced Substrings,Medium,https://leetcode.com/problems/remove-k-balanced-substrings/
110,Minimum Moves to Balance Circular Array,Medium,https://leetcode.com/problems/minimum-moves-to-balance-circular-array/
111,Filter Characters by Frequency,Easy,https://leetcode.com/problems/filter-characters-by-frequency/
112,Split Array With Minimum Difference,Medium,https://leetcode.com/problems/split-array-with-minimum-difference/
113,Earliest Time to Finish One Task,Easy,https://leetcode.com/problems/earliest-time-to-finish-one-task/
114,Smallest Absent Positive Greater Than Average,Easy,https://leetcode.com/problems/smallest-absent-positive-greater-than-average/
115,Maximize Alternating Sum Using Swaps,Hard,https://leetcode.com/problems/maximize-alternating-sum-using-swaps/
116,Bitwise OR of Even Numbers in an Array,Easy,https://leetcode.com/problems/bitwise-or-of-even-numbers-in-an-array/
117,Restore Finishing Order,Easy,https://leetcode.com/problems/restore-finishing-order/
118,Maximum Total Subarray Value II,Hard,https://leetcode.com/problems/maximum-total-subarray-value-ii/
119,Determine if a Simple Graph Exists,Medium,https://leetcode.com/problems/determine-if-a-simple-graph-exists/
120,Maximum Total Subarray Value I,Medium,https://leetcode.com/problems/maximum-total-subarray-value-i/
121,Longest Fibonacci Subarray,Medium,https://leetcode.com/problems/longest-fibonacci-subarray/
122,Count Bowl Subarrays,Medium,https://leetcode.com/problems/count-bowl-subarrays/
123,Minimum Operations to Transform String,Medium,https://leetcode.com/problems/minimum-operations-to-transform-string/
124,Minimum Operations to Equalize Array,Easy,https://leetcode.com/problems/minimum-operations-to-equalize-array/
125,Maximize Sum of At Most K Distinct Elements,Easy,https://leetcode.com/problems/maximize-sum-of-at-most-k-distinct-elements/
126,Find Books with Polarized Opinions,Easy,https://leetcode.com/problems/find-books-with-polarized-opinions/
127,GCD of Odd and Even Sums,Easy,https://leetcode.com/problems/gcd-of-odd-and-even-sums/
128,Find The Least Frequent Digit,Easy,https://leetcode.com/problems/find-the-least-frequent-digit/
129,Longest Semi-Repeating Subarray,Medium,https://leetcode.com/problems/longest-semi-repeating-subarray/
130,Generate Schedule,Medium,https://leetcode.com/problems/generate-schedule/
131,Maximum XOR of Subsequences,Hard,https://leetcode.com/problems/maximum-xor-of-subsequences/
132,Sum of Beautiful Subsequences,Hard,https://leetcode.com/problems/sum-of-beautiful-subsequences/
133,Maximum Weight in Two Bags,Medium,https://leetcode.com/problems/maximum-weight-in-two-bags/
134,Maximum Path Score in a Grid,Medium,https://leetcode.com/problems/maximum-path-score-in-a-grid/
135,Minimum Operations to Equalize Binary String,Hard,https://leetcode.com/problems/minimum-operations-to-equalize-binary-string/
136,Maximum Walls Destroyed by Robots,Hard,https://leetcode.com/problems/maximum-walls-destroyed-by-robots/
137,Jump Game IX,Medium,https://leetcode.com/problems/jump-game-ix/
138,Best Time to Buy and Sell Stock using Strategy,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-using-strategy/
139,Partition Array Into K-Distinct Groups,Medium,https://leetcode.com/problems/partition-array-into-k-distinct-groups/
140,XOR After Range Multiplication Queries II,Hard,https://leetcode.com/problems/xor-after-range-multiplication-queries-ii/
141,XOR After Range Multiplication Queries I,Medium,https://leetcode.com/problems/xor-after-range-multiplication-queries-i/
142,Flip Square Submatrix Vertically,Easy,https://leetcode.com/problems/flip-square-submatrix-vertically/
143,Find Stores with Inventory Imbalance,Medium,https://leetcode.com/problems/find-stores-with-inventory-imbalance/
144,Sort Threats by Severity and Exploitability,Medium,https://leetcode.com/problems/sort-threats-by-severity-and-exploitability/
145,Earliest Finish Time for Land and Water Rides II,Medium,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-ii/
146,Minimum Sum After Divisible Sum Deletions,Medium,https://leetcode.com/problems/minimum-sum-after-divisible-sum-deletions/
147,Earliest Finish Time for Land and Water Rides I,Easy,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-i/
148,Number of ZigZag Arrays II,Hard,https://leetcode.com/problems/number-of-zigzag-arrays-ii/
149,Number of Perfect Pairs,Medium,https://leetcode.com/problems/number-of-perfect-pairs/
150,Number of ZigZag Arrays I,Hard,https://leetcode.com/problems/number-of-zigzag-arrays-i/
151,Find Students with Study Spiral Pattern,Hard,https://leetcode.com/problems/find-students-with-study-spiral-pattern/
152,Number of Student Replacements,Medium,https://leetcode.com/problems/number-of-student-replacements/
153,Maximum Total from Optimal Activation Order,Medium,https://leetcode.com/problems/maximum-total-from-optimal-activation-order/
154,Minimum Removals to Balance Array,Medium,https://leetcode.com/problems/minimum-removals-to-balance-array/
155,Sum of Perfect Square Ancestors,Hard,https://leetcode.com/problems/sum-of-perfect-square-ancestors/
156,Trionic Array II,Hard,https://leetcode.com/problems/trionic-array-ii/
157,Threshold Majority Queries,Hard,https://leetcode.com/problems/threshold-majority-queries/
158,Maximum Balanced Shipments,Medium,https://leetcode.com/problems/maximum-balanced-shipments/
159, Minimum Discards to Balance Inventory,Medium,https://leetcode.com/problems/minimum-discards-to-balance-inventory/
160,Trionic Array I,Easy,https://leetcode.com/problems/trionic-array-i/
161,Next Special Palindrome Number,Hard,https://leetcode.com/problems/next-special-palindrome-number/
162,Maximum K to Sort a Permutation,Medium,https://leetcode.com/problems/maximum-k-to-sort-a-permutation/
163,Minimum Number of Primes to Sum to Target,Medium,https://leetcode.com/problems/minimum-number-of-primes-to-sum-to-target/
164,Maximum Number of Subsequences After One Inserting,Medium,https://leetcode.com/problems/maximum-number-of-subsequences-after-one-inserting/
165,Balanced K-Factor Decomposition,Medium,https://leetcode.com/problems/balanced-k-factor-decomposition/
166,Find Maximum Balanced XOR Subarray Length,Medium,https://leetcode.com/problems/find-maximum-balanced-xor-subarray-length/
167,Minimum Sensors to Cover Grid,Medium,https://leetcode.com/problems/minimum-sensors-to-cover-grid/
168,Minimum Time to Activate String,Medium,https://leetcode.com/problems/minimum-time-to-activate-string/
169,Find Overbooked Employees,Medium,https://leetcode.com/problems/find-overbooked-employees/
170,Find Drivers with Improved Fuel Efficiency,Medium,https://leetcode.com/problems/find-drivers-with-improved-fuel-efficiency/
171,Number of Integers With Popcount-Depth Equal to K II,Hard,https://leetcode.com/problems/number-of-integers-with-popcount-depth-equal-to-k-ii/
172,Process String with Special Operations II,Hard,https://leetcode.com/problems/process-string-with-special-operations-ii/
173,Twisted Mirror Path Count,Medium,https://leetcode.com/problems/twisted-mirror-path-count/
174,Number of Integers With Popcount-Depth Equal to K I,Hard,https://leetcode.com/problems/number-of-integers-with-popcount-depth-equal-to-k-i/
175,Split Array by Prime Indices,Medium,https://leetcode.com/problems/split-array-by-prime-indices/
176,Once Twice,Medium,https://leetcode.com/problems/once-twice/
177,Coupon Code Validator,Easy,https://leetcode.com/problems/coupon-code-validator/
178,Minimum Jumps to Reach End via Prime Teleportation,Medium,https://leetcode.com/problems/minimum-jumps-to-reach-end-via-prime-teleportation/
179,Find COVID Recovery Patients,Medium,https://leetcode.com/problems/find-covid-recovery-patients/
180,Process String with Special Operations I,Medium,https://leetcode.com/problems/process-string-with-special-operations-i/
181,Longest Palindromic Path in Graph,Hard,https://leetcode.com/problems/longest-palindromic-path-in-graph/
182,Subarrays with XOR at Least K,Hard,https://leetcode.com/problems/subarrays-with-xor-at-least-k/
183,Split and Merge Array Transformation,Medium,https://leetcode.com/problems/split-and-merge-array-transformation/
184,Minimum Cost Path with Alternating Directions II,Medium,https://leetcode.com/problems/minimum-cost-path-with-alternating-directions-ii/
185,Minimum Cost Path with Alternating Directions I,Medium,https://leetcode.com/problems/minimum-cost-path-with-alternating-directions-i/
186,Count Odd Letters from Number,Easy,https://leetcode.com/problems/count-odd-letters-from-number/
187,Minimum Moves to Reach Target in Grid,Hard,https://leetcode.com/problems/minimum-moves-to-reach-target-in-grid/
188,Find Consistently Improving Employees,Medium,https://leetcode.com/problems/find-consistently-improving-employees/
189,Minimum Stability Factor of Array,Hard,https://leetcode.com/problems/minimum-stability-factor-of-array/
190,Network Recovery Pathways,Hard,https://leetcode.com/problems/network-recovery-pathways/
191,Check Divisibility by Digit Sum and Product,Easy,https://leetcode.com/problems/check-divisibility-by-digit-sum-and-product/
192,Minimum Time to Reach Destination in Directed Graph,Medium,https://leetcode.com/problems/minimum-time-to-reach-destination-in-directed-graph/
193,Maximum Product of Two Integers With No Common Bits,Medium,https://leetcode.com/problems/maximum-product-of-two-integers-with-no-common-bits/
194,Check if Any Element Has Prime Frequency,Easy,https://leetcode.com/problems/check-if-any-element-has-prime-frequency/
195,Partition Array to Minimize XOR,Medium,https://leetcode.com/problems/partition-array-to-minimize-xor/
196,Hexadecimal and Hexatrigesimal Conversion,Easy,https://leetcode.com/problems/hexadecimal-and-hexatrigesimal-conversion/
197,Find the Shortest Superstring II,Easy,https://leetcode.com/problems/find-the-shortest-superstring-ii/
198,Find Books with No Available Copies,Easy,https://leetcode.com/problems/find-books-with-no-available-copies/
199,Minimum Increments to Equalize Leaf Paths,Medium,https://leetcode.com/problems/minimum-increments-to-equalize-leaf-paths/
200,Minimum Time for K Connected Components,Medium,https://leetcode.com/problems/minimum-time-for-k-connected-components/
201,Count Prime-Gap Balanced Subarrays,Medium,https://leetcode.com/problems/count-prime-gap-balanced-subarrays/
202,Kth Smallest Path XOR Sum,Hard,https://leetcode.com/problems/kth-smallest-path-xor-sum/
203,Partition String ,Medium,https://leetcode.com/problems/partition-string/
204,Minimum Adjacent Swaps to Alternate Parity,Medium,https://leetcode.com/problems/minimum-adjacent-swaps-to-alternate-parity/
205,Inverse Coin Change,Medium,https://leetcode.com/problems/inverse-coin-change/
206,Maximize Spanning Tree Stability with Upgrades,Hard,https://leetcode.com/problems/maximize-spanning-tree-stability-with-upgrades/
207,Find Weighted Median Node in Tree,Hard,https://leetcode.com/problems/find-weighted-median-node-in-tree/
208,Sequential Grid Path Cover,Medium,https://leetcode.com/problems/sequential-grid-path-cover/
209,Seasonal Sales Analysis,Medium,https://leetcode.com/problems/seasonal-sales-analysis/
210,Count Number of Trapezoids II,Hard,https://leetcode.com/problems/count-number-of-trapezoids-ii/
211,Minimum Time to Transport All Individuals,Hard,https://leetcode.com/problems/minimum-time-to-transport-all-individuals/
212,Maximize Y‑Sum by Picking a Triplet of Distinct X‑Values,Medium,https://leetcode.com/problems/maximize-ysum-by-picking-a-triplet-of-distinct-xvalues/
213,Generate Tag for Video Caption,Easy,https://leetcode.com/problems/generate-tag-for-video-caption/
214,Best Time to Buy and Sell Stock V,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-v/
215,Find Category Recommendation Pairs,Hard,https://leetcode.com/problems/find-category-recommendation-pairs/
216,Smallest Subarray to Sort in Every Sliding Window,Medium,https://leetcode.com/problems/smallest-subarray-to-sort-in-every-sliding-window/
217,Minimum Cost Path with Teleportations,Hard,https://leetcode.com/problems/minimum-cost-path-with-teleportations/
218,Maximize Subarray GCD Score,Hard,https://leetcode.com/problems/maximize-subarray-gcd-score/
219,Minimum Cost Path with Edge Reversals,Medium,https://leetcode.com/problems/minimum-cost-path-with-edge-reversals/
220,Count Number of Trapezoids I,Medium,https://leetcode.com/problems/count-number-of-trapezoids-i/
221,Count Special Triplets,Medium,https://leetcode.com/problems/count-special-triplets/
222,Minimum Absolute Difference in Sliding Submatrix,Medium,https://leetcode.com/problems/minimum-absolute-difference-in-sliding-submatrix/
223,Multiply Two Polynomials,Hard,https://leetcode.com/problems/multiply-two-polynomials/
224,Partition Array for Maximum XOR and AND,Hard,https://leetcode.com/problems/partition-array-for-maximum-xor-and-and/
225,Minimize Maximum Component Cost,Medium,https://leetcode.com/problems/minimize-maximum-component-cost/
226,Minimum Time to Visit All Houses,Medium,https://leetcode.com/problems/minimum-time-to-visit-all-houses/
227,Find Minimum Log Transportation Cost,Easy,https://leetcode.com/problems/find-minimum-log-transportation-cost/
228,Maximize Count of Distinct Primes After Split,Hard,https://leetcode.com/problems/maximize-count-of-distinct-primes-after-split/
229,Two-Letter Card Game,Medium,https://leetcode.com/problems/two-letter-card-game/
230,Transform Array to All Equal Elements,Medium,https://leetcode.com/problems/transform-array-to-all-equal-elements/
231,Maximum Good Subtree Score,Hard,https://leetcode.com/problems/maximum-good-subtree-score/
232,Subsequence Sum After Capping Elements,Medium,https://leetcode.com/problems/subsequence-sum-after-capping-elements/
233,Find Most Frequent Vowel and Consonant,Easy,https://leetcode.com/problems/find-most-frequent-vowel-and-consonant/
234,Minimum Deletions for At Most K Distinct Characters,Easy,https://leetcode.com/problems/minimum-deletions-for-at-most-k-distinct-characters/
235,Minimum Moves to Clean the Classroom,Medium,https://leetcode.com/problems/minimum-moves-to-clean-the-classroom/
236,Smallest Index With Digit Sum Equal to Index,Easy,https://leetcode.com/problems/smallest-index-with-digit-sum-equal-to-index/
237,Find Maximum Area of a Triangle,Medium,https://leetcode.com/problems/find-maximum-area-of-a-triangle/
238,Lexicographically Smallest String After Adjacent Removals,Hard,https://leetcode.com/problems/lexicographically-smallest-string-after-adjacent-removals/
239,Minimum Steps to Convert String with Operations,Hard,https://leetcode.com/problems/minimum-steps-to-convert-string-with-operations/
240,Find Product Recommendation Pairs,Medium,https://leetcode.com/problems/find-product-recommendation-pairs/
241,Count the Number of Computer Unlocking Permutations,Medium,https://leetcode.com/problems/count-the-number-of-computer-unlocking-permutations/
242,Power Grid Maintenance,Medium,https://leetcode.com/problems/power-grid-maintenance/
243,Range XOR Queries with Subarray Reversals,Hard,https://leetcode.com/problems/range-xor-queries-with-subarray-reversals/
244,Minimum Threshold for Inversion Pairs Count,Medium,https://leetcode.com/problems/minimum-threshold-for-inversion-pairs-count/
245,Resulting String After Adjacent Removals,Medium,https://leetcode.com/problems/resulting-string-after-adjacent-removals/
246,Maximum Product of Two Digits,Easy,https://leetcode.com/problems/maximum-product-of-two-digits/
247,Subtree Inversion Sum,Hard,https://leetcode.com/problems/subtree-inversion-sum/
248,Find Maximum Number of Non Intersecting Substrings,Medium,https://leetcode.com/problems/find-maximum-number-of-non-intersecting-substrings/
249,Maximum Weighted K-Edge Path,Medium,https://leetcode.com/problems/maximum-weighted-k-edge-path/
250,Make a Positive Array,Medium,https://leetcode.com/problems/make-a-positive-array/
251,Maximum Profit from Trading Stocks with Discounts,Hard,https://leetcode.com/problems/maximum-profit-from-trading-stocks-with-discounts/
252,Minimum Weighted Subgraph With the Required Paths II,Hard,https://leetcode.com/problems/minimum-weighted-subgraph-with-the-required-paths-ii/
253,Path Existence Queries in a Graph II,Hard,https://leetcode.com/problems/path-existence-queries-in-a-graph-ii/
254,Find Sum of Array Product of Magical Sequences,Hard,https://leetcode.com/problems/find-sum-of-array-product-of-magical-sequences/
255,Equal Sum Grid Partition II,Hard,https://leetcode.com/problems/equal-sum-grid-partition-ii/
256,Equal Sum Grid Partition I,Medium,https://leetcode.com/problems/equal-sum-grid-partition-i/
257,Analyze Subscription Conversion ,Medium,https://leetcode.com/problems/analyze-subscription-conversion/
258,Minimum Swaps to Sort by Digit Sum,Medium,https://leetcode.com/problems/minimum-swaps-to-sort-by-digit-sum/
259,Minimum Operations to Make Array Sum Divisible by K,Easy,https://leetcode.com/problems/minimum-operations-to-make-array-sum-divisible-by-k/
260,Maximum Sum of Edge Values in a Graph,Hard,https://leetcode.com/problems/maximum-sum-of-edge-values-in-a-graph/
261,Number of Ways to Assign Edge Weights I,Medium,https://leetcode.com/problems/number-of-ways-to-assign-edge-weights-i/
262,Partition Array into Two Equal Product Subsets,Medium,https://leetcode.com/problems/partition-array-into-two-equal-product-subsets/
263,Number of Ways to Assign Edge Weights II,Hard,https://leetcode.com/problems/number-of-ways-to-assign-edge-weights-ii/
264,Concatenated Divisibility,Hard,https://leetcode.com/problems/concatenated-divisibility/
265,Find X Value of Array II,Hard,https://leetcode.com/problems/find-x-value-of-array-ii/
266,Maximize Score After Pair Deletions,Medium,https://leetcode.com/problems/maximize-score-after-pair-deletions/
267,Path Existence Queries in a Graph I,Medium,https://leetcode.com/problems/path-existence-queries-in-a-graph-i/
268,Grid Teleportation Traversal,Medium,https://leetcode.com/problems/grid-teleportation-traversal/
269,Phone Number Prefix,Easy,https://leetcode.com/problems/phone-number-prefix/
270,Count Partitions With Max-Min Difference at Most K,Medium,https://leetcode.com/problems/count-partitions-with-max-min-difference-at-most-k/
271,Minimum Operations to Convert All Elements to Zero,Medium,https://leetcode.com/problems/minimum-operations-to-convert-all-elements-to-zero/
272,Merge Operations for Minimum Travel Time,Hard,https://leetcode.com/problems/merge-operations-for-minimum-travel-time/
